Time,K22,K17,K24,N11,N5,N3,O8,O17,O18,R2
12/7/1986,1.838251114,1.67007637,2.461936951,2.180500031,2.502309799,1.962276459,3.627462387,3.118148804,4.063606262,3.386571884
12/14/1986,1.690420151,1.743183136,2.559047699,2.180500031,2.502309799,1.962276459,3.627462387,3.118148804,4.063606262,3.188140869
12/21/1986,1.81788063,1.766290665,2.669672012,2.180500031,2.121425629,1.552276611,3.395704269,3.118148804,3.303606033,3.18970871
12/28/1986,1.845338821,1.789484024,2.396780014,1.405813217,1.704668045,1.171707153,3.196731567,2.931545258,3.11740303,2.984708786
1/4/1987,1.845338821,1.789484024,1.9961586,1.259056091,1.557910919,1.061138153,3.157758713,2.904941559,3.091199875,2.984708786
1/11/1987,1.760047913,1.789484024,1.942644119,1.259056091,1.557910919,1.061138153,3.157758713,2.904941559,3.091199875,2.996278763
1/18/1987,1.442588806,1.402729034,1.589130402,1.259056091,1.341154099,1.061138153,2.821001053,2.85785675,2.841199875,2.996278763
1/25/1987,1.442588806,1.402729034,1.589130402,0.504369736,0.570268631,0.271137238,2.774244308,2.85785675,2.336200714,2.574708939
2/1/1987,1.442588806,1.402729034,1.589130402,0.504369736,0.570268631,0.271137238,2.774244308,2.85785675,2.336200714,2.574708939
2/8/1987,1.442588806,1.402729034,1.213117599,1.094369888,0.764396667,0.410570145,1.91248703,2.160772324,1.796201706,2.574708939
2/15/1987,1.297298431,1.275974274,1.213117599,0.694684982,0.527639389,0.210000992,0.765729904,0.703687668,1.056201935,2.004707336
2/22/1987,0.749839783,0.732780457,0.682495117,0.694684982,0.300884247,0.210000992,0.676757813,0.627084732,0.979999542,0.674707413
3/1/1987,0.352378845,0.339584351,0.301870346,0.694684982,0.300884247,0.210000992,0,0,0,0.094707489
3/8/1987,0.154918671,0.146389008,0.121246338,0.694684982,0.300884247,0.210000992,0,0,0,0.273138046
3/15/1987,0.027458191,0.023193359,0.010622025,0.789369583,0.441768646,0.370000839,0,0,0,0.271570206
3/22/1987,0,0,0,0.789369583,0.441768646,0.370000839,0,0,0,0.361570358
3/29/1987,0.307460785,0.303195953,0.290624619,0.789369583,0.441768646,0.370000839,0,0,0,0.673139572
4/5/1987,0.624919891,0.616390228,0.591247559,0.789369583,0.441768646,0.370000839,0,0,0,1.003137589
4/12/1987,1.322380066,1.309585571,1.271871567,0.789369583,0.441768646,0.370000839,0,0,0,1.664705276
4/19/1987,1.919837952,1.902778625,1.852493286,0.789369583,0.807653427,0.520000458,0,0,0,2.236276627
4/26/1987,2.535129547,2.539533615,2.393117905,0.789369583,0.807653427,0.520000458,0.396757126,0.237083435,0.475000381,2.737844467
5/3/1987,3.232589722,3.232728958,3.073741913,0.094684601,0.50676918,0.309999466,0.403514862,0.237083435,0.475000381,3.419412613
5/10/1987,3.81004715,3.805921555,3.634363174,0.094684601,0.723526001,0.490568161,1.140272141,0.924167633,1.194999695,3.970983505
